"SCHOOL_YEAR","DISTRICT_NUMBER","DISTRICT_NAME","FINAL_GRANT","DENOMINATOR_STUDIED_COHORT","NUMERATOR_NUM_SUCCESSFUL","Educators.CNT","FULLTIME.Educators.CNT","TEACH_STUD_RATIO","GRAD_RATE"
"2006/2007",60,"Peace River North",47835471,4815,4372,352,286,0.0593977154724818,90.7995846313603
"2006/2007",61,"Greater Victoria",139265232,16602,15840,1142,824,0.0496325743886279,95.4101915431876
"2006/2007",62,"Sooke",64848217,7387,6879,492,375,0.0507648571815351,93.123054013808
"2006/2007",63,"Saanich",61209740,7013,6555,505,324,0.0461999144446029,93.4692713532012
"2006/2007",64,"Gulf Islands",14501517,1339,1246,97,55,0.041075429424944,93.0545182972367
"2006/2007",67,"Okanagan Skaha",52599235,5943,5656,404,275,0.0462729261315834,95.170789163722
"2006/2007",68,"Nanaimo-Ladysmith",108745276,12675,12129,883,616,0.0485996055226824,95.6923076923077
"2006/2007",69,"Qualicum",38878144,4265,4047,298,215,0.0504103165298945,94.8886283704572
"2006/2007",71,"Comox Valley",67786783,7731,7110,515,382,0.0494114603544173,91.9674039580908
"2006/2007",72,"Campbell River",48152219,5141,4900,377,257,0.0499902742657071,95.3121960708033
"2006/2007",74,"Gold Trail",20258184,1422,1307,125,119,0.0836849507735584,91.9127988748242
"2006/2007",75,"Mission",50744932,5935,5623,403,313,0.0527379949452401,94.743049705139
"2006/2007",78,"Fraser-Cascade",18715770,1858,1707,131,116,0.0624327233584499,91.8729817007535
"2006/2007",79,"Cowichan Valley",68717459,7770,7226,525,409,0.0526383526383526,92.998712998713
"2006/2007",81,"Fort Nelson",9390448,841,754,61,55,0.0653983353151011,89.6551724137931
"2006/2007",82,"Coast Mountains",49635285,4801,4434,356,294,0.0612372422411998,92.3557592168298
"2006/2007",83,"North Okanagan-Shuswap",59109645,6248,5968,424,295,0.0472151088348271,95.5185659411012
"2006/2007",84,"Vancouver Island West",6126828,378,347,41,35,0.0925925925925926,91.7989417989418
